36,221.84,77.44
36,221.84,89.81
36,216.93,93.81
36,213.06,107.87
36,214.99,121.62
36,214.99,127.94
36,214.02,127.94
36,211.15,127.94
36,207.36,127.94
35,209.25,127.62
35,210.2,123.06
36,210.2,114.19
36,207.36,106
35,204.55,99.5
36,204.55,94.31
36,199.93,90
36,202.69,85.5
36,197.19,84.44
36,199.01,87.44
36,199.01,87.5
35,199.93,100.75
36,199.93,108.87
36,198.1,112.19
36,195.38,116.31
36,196.29,113.25
35,192.7,116.69
36,190.92,116.62
36,189.15,115.56
36,190.03,111.81
36,189.15,113.69
35,189.15,115.94
36,189.15,117.12
36,182.21,114.31
36,185.66,108.19
36,179.66,110.12
36,183.93,104.94
36,184.79,111.19
36,208.3,99.06
35,208.3,90.37
35,207.36,101.31
36,207.36,108.31
36,206.42,113.87
36,207.36,121.69
36,207.36,123.56
36,207.36,123.31
35,206.42,119.62
36,206.42,116
36,205.48,118.75
36,204.55,119.25
36,203.62,119.5
36,202.69,115.75
36,201.77,111.25
36,201.77,104.44
36,200.85,96.19
36,199.93,88.75
36,199.01,82.56
36,197.19,76.87
36,196.29,72.19
36,195.38,78.5
36,192.7,75
36,191.81,81.88
35,190.92,99.56
37,213.06,112
36,219.86,110.62
36,225.82,110.81
36,230.87,112.12
35,234.98,111.69
36,237.05,107.5
35,232.92,105.87
36,238.09,98.56
36,240.18,91.06
36,240.18,87.69
35,241.24,90.25
36,242.29,93.75
36,242.29,96.94
36,243.35,99.44
36,243.35,101.12
37,243.35,100.12
36,241.24,98.94
36,239.14,103.37
36,238.09,103.12
36,237.05,103.62
36,236.01,99.56
36,232.92,96.56
36,226.82,94.37
36,226.82,92.5
36,223.82,91.87
36,221.84,87.94
36,219.86,85.75
33,215.96,84.06
36,213.06,82.25
36,213.06,82.25
36,213.06,82.56
36,212.1,87.75
36,209.25,97.69
36,209.25,103.69
36,206.42,106.25
36,204.55,107.25
36,203.62,107.12
36,201.77,106.25
35,199.93,104.75
35,225.82,102.5
35,226.82,100.81
35,228.84,100
36,228.84,99.19
36,225.82,98.25
36,203.62,99.37
35,199.93,97.81
35,200.85,97.75
35,198.1,107.37
35,195.38,113.94
35,192.7,107
35,190.03,103.87
35,185.66,98.19
36,185.66,89.94
35,175.46,85.81
35,174.63,84.37
35,172.15,82.81
36,168.89,83.12
35,163.3,93.44
35,187.84,87.31
35,182.51,92.12
35,175.86,90.94
35,192.26,90.81
36,188.02,88.25
35,182.51,87
35,187.83,85.62
35,195.86,85.31
35,174.55,85
35,188.72,85.94
36,188.09,87.31
35,190.92,85
36,196.29,83.69
35,201.77,81.19
35,204.55,83.19
35,208.3,84.5
35,205.48,84.37
35,198.1,82.44
35,196.29,81.62
35,196.29,80.44
35,192.7,93.37
35,192.7,105.62
35,191.81,111
35,189.15,114.69
37,189.15,118
35,177.28,101.44
35,195.68,102.56
35,190.94,103.31
35,192.51,103.44
36,197.07,103.37
35,193.26,103.44
35,194.02,104.75
35,197.32,106.81
35,184.41,108.5
35,197.32,108.5
35,198.02,108.44
35,195.25,108.44
35,192.51,107.19
35,198.49,106
35,180.83,104.94
35,193.26,104.19
35,198.61,103.5
35,180.94,103
35,190.16,102.56
35,199.16,102.19
35,188.61,101.87
35,194.78,101.56
35,193.26,101.37
35,181.02,101.25
35,188.05,101.06
35,196.59,100.94
35,192.97,100.87
35,198.72,100.81
35,197.32,100.81
35,198.72,100.94
35,184.88,101.12
35,178.81,101.37
35,179.66,101.44
35,182.21,101.5
35,178.81,101.75
35,171.33,101.69
35,173.8,101.75
35,172.98,101.06
35,174.63,109.69
35,196.48,115.81
35,211.89,119.94
35,200.7,122.87
35,198.89,125.69
35,198.09,120.12
35,173.8,114.87
34,180.51,95.5
36,179.66,93.94
36,189.06,95.2
35,187.6,102.3
36,179.16,101.5
35,199.5,99
36,201.5,95.6
36,188.16,92.1
36,188.05,88.3
36,198.98,89.3
